17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Sheet factory is deprecated, use TabItem [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1080
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_Enabled' have type prefix - use 'Enabled' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_FontHeight' have type prefix - use 'FontHeight' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_Enabled' have type prefix - use 'Enabled' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  StaticText factory is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1088
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  StaticText skin is deprecated, use TextBox [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'ComboBox_ModeDrop' have type prefix - use 'ModeDrop' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_FontHeight' have type prefix - use 'FontHeight' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Widget property 'Widget_FontHeight' have type prefix - use 'FontHeight' instead [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_Widget.cpp  |  1083
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  ButtonSmall skin is deprecated, use Button [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1125
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
17:29:02  |  Core  |  Warning  |  Sheet factory is deprecated, use TabItem [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  1080
17:29:02  |  Core  |  Warning  |  Widget_Caption is deprecated, use Caption [Editor.layout]  |  ..\..\MyGUIEngine\src\MyGUI_BackwardCompatibility.cpp  |  872
